职位,薪水,经验,学历,关键词,工作地址
信实广州翻译公司 | 12月1日-9日纽约和旧金山英语地陪口译项目,1000-2000元,经验不限,学历不限,"12月1日-9日纽约和旧金山英语地陪口译项目（信实广州翻译公司）
招募人数：1-2人
项目语言：英语
项目时间：12月1日-9日之间，具体天数待定
项目地点：美国纽约、旧金山两地
工作内容：由信实广州翻译公司发起的语言翻译服务项目，陪同客户考察当地市场，陪同一起协助沟通
应聘要求：中-英口语流利；具备一定的商务口译经验优先考虑；可接受纽约和旧金山全程由同一位译员，或两个地方各一位，纽约/旧金山当地译员优先考虑；

合适的直接投递👉这些：
简历 ➕“姓名+现居地+报价xx元 一天；是否全含，其他费用的请告知+2025年12月1日-9日纽约和旧金山英语地陪口译项目（信实广州/深圳翻译公司招募）+兼职信息来源+相关证书如有(毕业学位双证、语言水平证明等等）“


此处费用仅供参考，具体以实际沟通投递项目的为准","工作地点
广州天河区保利中景大厦
查看地图"
英语+阿语翻译,1000-1200元/天,珞珈山,1-3年,"项目背景：建筑工程，4月份可能会有出国行程，还有线上会议口译需求，要到客户单位一起参加线上会议
任职要求：武汉本地，2年及以上翻译经验，只需要一位翻译主要英语且会阿语 （阿语能基本沟通即可）","工作地点
武汉洪山区樱花大厦A座
查看地图"
英语翻译（留学申请方向 五险一金）,7000-10000元,经验不限,本科,"岗位职责：
1.帮助学生梳理申请所需材料，完成申请材料整理；
2.帮助学生准备申请学校的面试及相关材料，并顺利通过面试；
3.协助学生进行留学材料翻译（如成绩单、在读证明、家庭信息、荣誉证书、签证材料等），把控申请资料质量；
4.与学生反馈申请结果，跟进申请进度并及时反馈，提高申请通过率；
5.为学生提供必要的签证培训、入学前指导和临行资料整理。
任职要求：
1.本科及以上学历，英语相关专业、或有DIY申请留学成功者优先，应届生欢迎投递；
2.优秀的学习能力、沟通能力与服务意识；
3.优秀的英文翻译与写作能力，英语专业四级或八级、CATTI笔译证书、托福（100+）、雅思（7分+）相关考试任意通过1项，多者不限""","工作地点
郑州金水区千玺广场20层
查看地图"
驻几内亚英语翻译,2-3.5万,3-5年,本科,"一、主要职责
主要职责覆盖口译、笔译及辅助协调工作，确保高效支持项目运营。以下列出4项核心任务（基于优先级合并为关键点）：
1 日常口译服务：提供英语的双向实时口译，包括会议、谈判、培训及现场考察等场景；确保信息传达准确、专业，并及时处理突发沟通问题（如术语误解或文化冲突）。
2 文件笔译与校对：负责商业合同、报告、邮件等文件的英语翻译工作，确保内容忠实原文、符合行业规范；同时管理翻译数据库，定期更新术语库以提高效率。
3 跨文化协调支持：协助团队应对文化差异，例如在商务礼仪、谈判风格或本地习俗中提供建议；参与项目协调会议，促进中外方团队的无缝合作。
4 应急与沟通管理：在紧急情况（如安全事件或项目变更）下，提供快速语言支持；维护沟通记录，并定期向主管汇报翻译工作中的挑战与优化建议。
二、岗位要求
1 学历：本科及以上学位，专业为翻译、英语语言文学、国际关系或相关领域（持有CATTI二级或同级证书者优先）。
2 语言能力：英语流利（专业英语四级或雅思7.0分或托福100分以上证明），第二外语为法语者优先考虑。

3 翻译技术：熟练使用Trados、MemoQ等翻译软件，能高效处理专业文档；具备较强的中英文写作与编辑能力。
4 熟悉领域：矿业、基础设施建相关者优先。","工作地点
几内亚贝拉省
查看地图"
英语翻译,5000-8000元,1-3年,本科,"岗位内容：
1. 需要和老板一起出差，时间在一到俩个礼拜。
2. 协助老板去印尼出差口译等英语沟通工作，一般在一个礼拜内。
任职要求：
1. 英语专业本科及以上学历，熟练掌握英语听说读写能力。
2. 优先具备1-3年以上英语翻译经验。
3. 熟悉常用办公软件以及翻译工具，有良好的团队协作能力。","工作地点
太原迎泽区视美科技5018
查看地图"
商务英语翻译,6000-10000元,1-3年,本科,"工作职责：
1.提供口译服务：负责商务洽谈、技术交流、展会、电话会议等活动的现场翻译，并做好会议记录。
2.提供笔译服务：负责相关业务的文件、资料的书面翻译及传递，保证翻译质量和传递及时性。
3.参与国外渠道合作的对接，协助销售团队进行客户跟进；
4.协助做好国外客户的接待工作，包括用餐、酒店、活动等安排；
5.翻译资料的整理、相关信息等收集、管理。
6.上级领导交办的其他工作
任职要求：
1.本科及以上学历，商务英语、国际贸易、翻译等外语类专业，英语四级以上；
2.英语听说读写能力卓越，具备流利的口语表达能力，能无障碍与外商进行商务谈判、技术交流及日常沟通；
3.有翻译相关证书、两年以上海外背景、熟悉烟草、机械行业及翻译工作经验的优先；
4.抗压、适应能力强，岗位需短期国外出差；
5.熟练使用OFFICE等办公软件，具备良好的职业道德和素养，保守商业机密。","工作地点
新乡市红旗区新一街新乡南马庄东侧约190米
查看地图"
英语翻译（资料管理）劳务派遣 海外7,1.2-1.5万,1-3年,本科,"地点：赞比亚
岗位职责：
1. 负责设计施工文件图纸、商务合同、投标文件、往来函件的中译英、英译中工作。
2. 负责现场经理部文控工作，包括资料、档案、文件、图纸的建档、流转、查阅管理。
3.日常收发文件接口，资料室内业工作，项目周月报和公司简报的汇编起草。
4.领导临时安排的其他日常工作。
岗位要求：
1. 英语专业（英语专业八级），具备工程行业文件翻译能力和工程现场口语交流能力，相关经验不少于2年。
2. 具有资料、档案管理经验者优先。","工作地点
西安未央区国机集团西部研发中心
查看地图"
英语翻译（双休+五险一金）,7000-9000元,经验不限,本科,岗位职责（招聘全职）：1.根据提供的材料，帮助学生挖掘自身优势，完成申请材料整理； 2.协助学生进行申请文案（个人简历、推荐信、个人陈述）润色，把控文案质量； 3.及时沟通学生和家长，同步申请进展和所需材料；  岗位要求：1.本科以上学历，英语相关专业、英语系国家本科毕业或DIY申请留学成功者优先，有同行工作经验者优先； 2.优秀的学习能力、沟通能力与服务意识； 3.优秀的英文翻译与写作能力，有专四、专八、三笔证书、雅思写作6.5分均可；       福利保障：  1. 休假&体检：每周双休+法定节假日+带薪休假+年度免费体检，休息到位、身体倍棒，只有你想不到的假，没有我们给不了的假 ！  2. 保障：签订劳动合同后，就有五险一金保障！节日礼金+走心活动，给你情话、送你鸡汤，360°对你宠爱！  3. 培训：公司内部+北京总部+出境访校的培训，你爱学习，来，平台给你！  4. 晋升与职业发展：管理与专业两大发展路径，每年1-2次公开竞聘，能力至上！  5. 旅游：年度集体旅游，高额补贴（2500-4000大洋/人）、假期都配齐，前途带你看世界！  （已打卡东南亚、日韩、中东、欧洲重要国家）  6. 超nice的办公环境+同事：占领郑州地标，邻地铁、商圈，落地窗无敌观景视角，海归团队同事，你值得拥有！,"工作地点
郑州金水区千玺广场(南门)20层
查看地图"
外贸英语翻译,5000-9000元,经验不限,本科,"岗位内容：
1. 负责公司所有英语资料的翻译工作，如邮件、文档、合同、技术说明等。
2. 协助相关部门进行与国外客户的英语邮件沟通。
3. 参与英语会议、谈判的口译和笔译工作。
任职要求：
1. 熟练掌握英语听说读写能力，具备良好的英语表达能力和翻译能力。
2. 能承受较大的工作压力，具备一定的英语翻译经验，熟悉使用常用办公软件和翻译工具。
3. 具备优秀的团队协作能力和沟通能力，思维敏捷，逻辑清晰。","工作地点
沧州任丘市丽升佳园(东1门)丽升佳园东门4-003号门市
查看地图"
线上面试+英语翻译+不加班,7000-9000元,经验不限,大专,"试用期6000-7000，转正7000-9000
工作内容：
为使用支付宝的外籍用户提供人工咨询热线服务，不含有任何销售性质。
薪资结构：
无责底薪5800+晚班补助+绩效，试用期不打折
福利待遇：
1、入职五险一金
2、专业的带薪岗前培训
3、带薪年假、产假、婚假等
4、提供完整透明的晋升平台
面试流程：投递简历-电话初试-线上面试-发放offer","工作地点
郑州管城回族区文化产业大厦-A座1
查看地图"
英语翻译人员,6000-12000元,1-3年,本科,"岗位职责：
专家例会的会议翻译，项目现场沟通翻译，项目过程文档管理。协助项目经理进行日常工作。
任职要求：
流利的口语翻译能力，吃苦耐劳的精神，较强的责任心及良好的沟通能力。
适应长期出差，出差地点：沙特吉达
待遇：
国外项目，公司统一吃住行。
国内项目，公司提供住宿。
工作时间：
为保证项目延续性，需保证工作3个月。根据项目情况，每周可以休息一天。

职位福利：绩效奖金、餐补、包住、免费班车、节日福利、五险一金","工作地点
北京大兴区荣华街道BDA国际广场K座619
查看地图"
英语翻译行政协调管理,1.5-2万,1-3年,大专,"岗位：英语翻译协调管理（业主服务） 1人
要求：45岁以下，用英语和业主沟通，具备专业能力，优先考虑有相关经验的人员。善于沟通表达，做事灵活，能随时适应各种工作环境及工作节奏；具备一定的协调和管理能力；有政府关系或者公共关系沟通协调经验优先。","工作地点
青岛市北区兴隆一路
查看地图"
英语翻译,7000-12000元,1-3年,本科,"岗位职责：
1.负责设备制造领域技术文档、产品说明书、合同协议等文件的笔译工作，确保专业术语准确传达
2.参与客户合作、设备调试等场景的口译支持，协调中外技术团队沟通
3.处理客户反馈及质量异常报告，协助完成跨语言问题解决
4.优化翻译流程，提升工作效率
任职要求：
1.本科及以上学历，英语、机械工程或相关专业优先
2.1-3年设备制造、机械或工业领域翻译经验
3.英语专业八级或同等水平，具备技术文档中英互译能力
4.可接受加班、出差及现场调试支持","工作地点
新郑市中晟华越(郑州)智能科技有限公司
查看地图"
英语翻译,1-1.7万,3-5年,本科,"岗位内容：
1. 翻译各类文件、合同、协议等文书，并确保翻译准确无误。
2. 协助组织商务谈判、会议等英语沟通工作。
3. 负责英语口译、笔译和文字编辑等工作。
任职要求：
1. 英语专业本科及以上学历，熟练掌握英语听说读写能力。
2. 具备3年以上英语翻译经验，对财务、法律、商务等领域具有深入的了解。
3. 熟悉常用办公软件以及翻译工具，有良好的团队协作能力。","工作地点
上海嘉定区华泰中心
查看地图"
英语翻译（乌干达）,1.5-3万,经验不限,大专,"岗位内容：
1. 负责公司所有英语资料的翻译工作，如邮件、文档、合同、技术说明等。
2. 协助相关部门进行与国外客户的英语邮件沟通。
3. 参与英语会议、谈判的口译和笔译工作。
任职要求：
1. 英语六/八级，熟练掌握英语听说读写能力，具备良好的英语表达能力和翻译能力。
2. 年龄45岁以下，能承受较大的工作压力，具备一定的英语翻译经验，熟悉使用常用办公软件和翻译工具。
3. 有矿业相关工作经验者优先考虑。","工作地点
葫芦岛连山区宏达集团
查看地图"
英语翻译,2000-3000元,5-10年,大专,跟西班牙工厂人员英语交流，发送邮件等。要求英语读写听说精通熟练，有外贸翻译经验。,"工作地点
青岛市北区海信缤纷都市
查看地图"
英语翻译（郑州）,6000-7000元,1年以下,本科,"郑州-长期英语翻译
工作地点:郑州
岗位职责：
负责部门口笔译工作，秘书类工作，以及领导安排的其他工作。
任职条件：
有汽车行业翻译经验优先
福利:周末双休，加班补贴,餐补，免费通勤车，八小时工作制","工作地点
管城回族区郑州日产汽车有限公司研发大楼
查看地图"
英语翻译,6000-8000元,经验不限,本科,"岗位内容：
1. 负责公司所有英语资料的翻译工作，如邮件、文档、合同、技术说明等。
2. 协助相关部门进行与国外客户的英语邮件沟通。
3. 参与英语会议、谈判的口译和笔译工作。
任职要求：
1. 熟练掌握英语听说读写能力，具备良好的英语表达能力和翻译能力。
2. 能承受较大的工作压力，具备一定的英语翻译经验，熟悉使用常用办公软件和翻译工具。
3. 具备优秀的团队协作能力和沟通能力，思维敏捷，逻辑清晰。","工作地点
乌鲁木齐水磨沟区鸿瑞豪庭3号楼2101
查看地图"
英语翻译,8000-10000元,无经验,本科,"1.本科及以上。
2.英语、商务英语等相关专业。","工作地点
兰州红古区方大炭素新材料科技股份有限公司
查看地图"
英语翻译,5000-10000元,经验不限,本科,1.负责日常英语业务的翻译（口译+笔译）2.接收领导分配的任务3.保证翻译质量4.翻译资料的整理收集、知识管理5.领导交办的其他业务  任职要求：1.本科及以上学历，优秀者可放宽限制  2.英语听说能力良好、笔译功底深厚，中外互译熟练，中文文笔优秀，有英语实战及商务洽谈工作经历者优先  3.有编辑、笔译相关工作经验优先考虑，接收优秀应届毕业生  4.英语专八优先考虑  5.会阿拉伯语着优先,"工作地点
环翠区威海紫光温泉产业园
查看地图"
英语翻译--武汉--短期20天,1-1.1万,1-3年,本科,"到岗时间:2026年1月
项目周期:20天
工作时间：2026.1.19号-2026.2.7号
岗位职责:
产品培训（中英互译），英语口笔译
岗位要求:
1 仅限中国籍，统招本科及以上学历，精通英语，有丰富的口笔译经验
2 年龄45岁以内，英语有翻译证书优先考虑（例如catti、上海高口）
3 身体健康，有机械制造类翻译经验优先
其他：不包食宿、不包交通费，需要自理","工作地点
武汉江夏区阳光大道
查看地图"
英语翻译,8000-15000元,经验不限,本科,"【岗位职责】：
1、负责涉外沟通交流，工作文档的翻译，如邮件、文档、合同、技术说明等，口译或笔译；
2、协助相关部门进行商务沟通洽谈；
3、领导交代的其他的相关工作。
【任职要求】：
1、可胜任中英文的翻译，能够学习行业专业英语及行业相关知识，能接受出差（包含国内、国外）；
2、本科以上学历，英语专业优先；
3、持C1驾照，驾驶技术熟练者优先；
4、会阿拉伯语者可适当放宽录用条件；
5、35岁以下，欢迎优秀的应往届毕业生投递；
6、性格开朗、外向，有较好的学习能力和沟通能力、表达能力；
【福利】五险一金、带薪休假、出差补贴、涉外补贴、涉外包住。","工作地点
重庆渝北区泰山大道西段2号贝蒙盘古6栋2层
查看地图"
英语翻译（武汉国企）,8000-9000元,3-5年,本科,"大型船舶国企招聘英语翻译2名
1.派驻时间：2025年12月-2026年12月（可续签）
2.派驻人数：2人
3.任职资格：本科或以上学历，英语好，有语言资格证书，有船舶机械翻译经验优先，武汉本地翻译优先，外地需自行解决住宿问题。
4.工作职责：
负责船舶制造原理的培训翻译，生产现场的沟通交流，相关文档的记录工作等。
工作时间：周一至周五，每天8小时。
工作地点:武汉新洲
食宿：厂区对面民房租金400-800/月不等，厂区有食堂，餐补12元/工作日。
适应期合格且工作满1个月可以报销外地来汉火车费。","工作地点
孝感孝南区湖北工程学院
查看地图"
矿区-英语翻译（出差）,1.2-2万,5-10年,大专,"岗位内容：
1. 负责公司海外项目英语翻译工作，如协助领导管理当地员工、技术说明等。
2. 协助领导办理矿区相关手续办理等工作。
任职要求：
1. 熟练掌握英语听说读写能力，具备良好的英语表达能力和翻译能力。
2. 能承受较大的工作压力，具备一定的英语翻译经验，熟悉使用常用办公软件和翻译工具。

3.有非洲矿区英语翻译工作经验优先。","工作地点
烟台海阳市燕翅山村
查看地图"
海外工程英语翻译,1.5-2万·13薪,1-3年,本科,"**岗位概述**
作为公司海外项目团队的核心沟通枢纽，您将不仅仅是语言的桥梁，更是项目信息的精准传递者。您需要深入项目现场，运用专业的语言能力，确保在工程、物流、管理等多个层面的沟通无障碍、信息无差错，为项目的顺利执行提供至关重要的语言与行政支持。
**岗位职责**
1. 核心口译工作：
为项目会议、技术交底、商务谈判、政府及业主沟通提供精准的现场交替传译或随行翻译。
在工程现场，为中方管理团队与外籍员工、分包商、当地劳工之间提供即时翻译，确保施工指令准确传达。
陪同项目人员参与当地各类外联活动，担任礼仪与文化沟通的桥梁。
2. 专业笔译工作：
负责项目往来函件、会议纪要、技术规范、施工方案、图纸说明、合同条款等工程与技术文件的笔译。
翻译与物流、清关相关的单据、合同及通知，确保物资信息流转无误。
处理项目所需的各类管理报表、工作报告及行政公文的中英互译。
3. 综合管理与沟通支持：
协助项目部进行简单的涉外行政事务处理，如与当地部门的文书往来。
参与管理术语库的建立与维护，确保项目内部翻译的准确性与一致性。
在跨文化沟通中，提供必要的文化背景解读，预防并化解因文化差异引发的误解。
**任职要求**
1. 必备条件：
本科及以上学历，英语、翻译、工程管理、土木工程或国际贸易等相关专业。
持有英语专业八级证书，或同等水平的雅思（7.0以上）、托福（100以上）成绩。其他能证明极高英语能力的证书亦可。
具备至少2年以上在国际工程、建筑、重型机械或物流领域的工作或翻译经验，熟悉相关行业的专业术语。
出色的中英文口头及书面表达能力，口译要求反应迅速、表达流畅；笔译要求严谨精准、文风贴切。
能够接受并适应长期驻外工作，具备良好的心理素质、跨文化适应能力及强烈的责任心。
熟练使用Office办公软件及计算机辅助翻译（CAT）工具。
2. 加分项：
有幕墙行业翻译经验者优先。
掌握阿拉伯语、西班牙语者优先。
**薪酬福利**
薪酬结构：具有竞争力的底薪 + 驻外津贴 + 年终奖金。
晋升路径：从翻译向项目协调、商务经理、当地公司经理方向发展。
综合福利：缴纳五险一金、带薪年假、交通通讯补贴、节日福利、包食宿。
**工作地点**
1. 海外项目驻地：中亚、中东、非洲等地区（90%时间）。
2. 国内公司总部：深圳市龙华区（10%时间）。","工作地点
深圳市-龙华区-红木三街龙华设计产业园总部大厦3栋905室
查看地图"
英语翻译,4000-5000元,经验不限,本科,"们正在寻找一位经验丰富的英语翻译，加入我们的团队。
岗位职责：

负责公司日常文件、资料的笔译工作。
协助处理英文邮件及沟通事宜。
支持相关会议的口译。
领导安排的其他事宜。
任职要求：

中英文功底扎实，表达流畅准确。
有相关翻译经验者优先。
工作认真负责，有良好的沟通能力。","工作地点
邯郸武安市东山东路
查看地图"
英语翻译,8000-16000元,经验不限,本科,"诚聘长期英语主播，销售水晶外贸产品
我们是在外网直播销售水晶产品。水晶球和雕刻件之类的。直播平台Facebook 和Instagram
1:我们的成熟账号，老手有能力的主播优先，要求口语好，对工作态度积极，有上进心
2: 薪资底薪6000，保底1万到1.5万左右，提成3个点，休息做六休一，年底有年终奖
包住宿每个月有饭补。交通补贴。
3: 公司氛围很好，定期有聚餐团建，为你提供一个可以长期稳定发展舒心的好平台
具体可以面议，欢迎随时电话咨询！
4.工作地点江苏省连云港市东海县","工作地点
徐州市-云龙区-汉源大道与紫金路交叉路口东北侧
查看地图"
英语翻译,8000-16000元,1-3年,本科,笔译，口译，英语，专八，英语翻译，商务英语   1. 英语专业，通过英语6级，专业8级优先。    2. 熟练掌握英语听说读写技能。    3. 词汇量广，有一定的语料积累，可以独立完成商务文件、技术资料等的翻译工作。    4. 可以协助英文语境下现场沟通，发音准确，口语流利。    5. 认真细致，有良好的语言表达能力、沟通能力，学习能力强。    6. 有翻译工作或实习经验者优先。,"工作地点
廊坊三河市三河同飞制冷股份有限公司
查看地图"
英语翻译,1-2万,经验不限,本科,具有专业英语8级水平，口语能力强，具有商务英语写作能力，具有较强学习能力，能够迅速掌握工程类专业英语。  工作地点：根据公司项目需要，在国内或国外工作。,"工作地点
廊坊安次区金光道
查看地图"
英语翻译,4000-6000元,1-3年,大专,岗位职责：  1、英语即时翻译，邮件、文件、报价、技术协议等翻译；  2、客户跟踪、订单处理；  3、熟练，了解或掌握机械、电气知识；  4、愿意从事以销售、售后为主体的翻译工作。  福利待遇：单休，五险、双节福利、年终奖金、免费午餐，薪资面议。,"工作地点
保定竞秀区高新区华光路555号
查看地图"
英语翻译,5000-7000元,无经验,大专,"1、中英文互译生产技术文件；
2、日常中英文口语翻译（如：会议及工作翻译）；
3、协助外国上司处理日常事务
任职要求
1、大专以上学历，英语听说读写良好
2、熟练使用各项办公软件。","工作地点
东莞晶苑工业城108号
查看地图"
