学科门类,专业类,专业名称,核心技能
教育学,教育学类,小学教育,小学课程设计（语文/数学）、班级管理、小学生认知发展引导、小学教学方法应用（启发式）、学生学业辅导
教育学,教育学类,特殊教育,特殊儿童评估（智力/听力）、个别化教育方案设计、特殊教育工具应用（助听设备）、特殊儿童康复训练、特殊教育家校沟通
教育学,教育学类,华文教育,华文课程设计、跨境华文教学、中华文化传播、华文教材开发、海外华文师资培训
教育学,教育学类,教育康复学,教育康复方案设计、特殊儿童康复训练（语言/运动）、康复效果评估、康复设备使用、康复家校协作
教育学,教育学类,卫生教育,卫生知识科普、健康课程设计、公共卫生教育方案、学生健康行为引导、卫生教育效果评估
教育学,教育学类,认知科学与技术,认知规律应用（记忆/注意力）、学习认知干预、认知教学工具开发、认知能力评估、认知科学实验设计
教育学,教育学类,融合教育,融合课程设计（特殊与普通学生）、特殊儿童融合支持、融合教学环境构建、融合教育师资培训、融合教育效果评估
教育学,教育学类,劳动教育,劳动课程设计（手工/农事）、劳动技能培育、劳动实践组织、学生劳动素养评估、劳动教育资源整合
教育学,教育学类,家庭教育,家庭教养指导、家庭亲子沟通引导、家庭教育方案设计、家长培训、家庭教育问题咨询
教育学,教育学类,孤独症儿童教育,孤独症儿童评估、孤独症教学方案设计（ABA/TEACCH）、孤独症行为干预、孤独症儿童康复训练、孤独症儿童家校协同
教育学,教育学类,人工智能教育,AI教学工具开发、智能课程设计、AI教育应用指导、学生AI素养培育、人工智能教育评估
教育学,教育学类,婴幼儿发展与健康管理,婴幼儿发育评估、婴幼儿健康护理、婴幼儿发展引导、婴幼儿营养指导、婴幼儿照护方案设计
教育学,体育学类,体育教育,体育课程设计（田径/球类）、体育技能教学、体育训练方案制定、学生体质测试、体育竞赛组织
教育学,体育学类,运动训练,专项运动训练方案（足球/田径）、运动员技能提升、运动损伤预防、训练效果评估、运动员心理疏导
教育学,体育学类,社会体育指导与管理,社会体育活动组织、大众健身指导、体育赛事策划、社会体育资源整合、群众体质监测
教育学,体育学类,武术与民族传统体育,传统武术教学（太极拳/武术套路）、民族体育项目推广、武术训练方案设计、武术赛事组织、民族体育文化传承
教育学,体育学类,运动人体科学,运动生理分析、运动营养方案、运动损伤康复、运动生物力学研究、运动机能评估
教育学,体育学类,运动康复,运动损伤评估、康复训练方案、康复效果跟踪、康复器械使用、康复心理辅导
教育学,体育学类,休闲体育,休闲体育项目开发（瑜伽/露营）、休闲体育活动组织、大众休闲健身指导、休闲体育产业分析、休闲体育安全管理
教育学,体育学类,体能训练,体能评估、体能训练方案、体能提升跟踪、专项体能训练、体能恢复指导
教育学,体育学类,冰雪运动,冰雪项目教学（滑雪/滑冰）、冰雪训练方案、冰雪赛事组织、冰雪运动安全防护、冰雪运动场馆管理
教育学,体育学类,电子竞技运动与管理,电竞赛事策划、电竞训练指导、电竞俱乐部管理、电竞战术分析、电竞行业合规
教育学,体育学类,智能体育工程,智能体育设备应用（运动手环/VR）、智能训练方案设计、体育数据化分析、智能体育系统开发、智能体育赛事支持
教育学,体育学类,体育旅游,体育旅游项目开发（马拉松/骑行）、体育旅游活动组织、体育旅游安全保障、体育旅游市场分析、体育旅游资源整合
教育学,体育学类,运动能力开发,运动潜能评估、运动能力提升方案、专项能力训练、运动能力监测、运动能力发展指导
教育学,体育学类,足球运动,足球教学（技术/战术）、足球训练方案、足球赛事组织、足球运动员选材、足球俱乐部青训管理
教育学,体育学类,马术运动与管理,马术教学（骑术/马匹护理）、马术训练方案、马术俱乐部管理、马术赛事组织、马匹健康管理
文学,中国语言文学类,汉语言文学,文本分析（古代/现代文学）、公文写作（报告/通知）、文学鉴赏、语言表达（演讲/写作）、古典文献整理
文学,中国语言文学类,汉语言,汉语语法分析、汉语教学、汉语语言应用（写作/口语）、汉语方言研究、汉语规范化推广
文学,中国语言文学类,汉语国际教育,对外汉语教学、跨文化沟通、汉语课程设计、汉语教材开发、留学生汉语评估
文学,中国语言文学类,中国少数民族语言文学,民族语言研究（藏语/蒙古语）、民族文化传播、民族语言教学、民族文献整理、民族语言保护
文学,中国语言文学类,古典文献学,古籍整理、文献校勘、古典文本解读、古籍数字化、古典文献检索
文学,中国语言文学类,应用语言学,语言应用分析、语言教学方案、语言工具开发（词典/翻译软件）、语言习得研究、语言测试设计
文学,中国语言文学类,秘书学,公文撰写（请示/纪要）、会议组织、办公事务管理、档案整理、商务沟通协调
文学,中国语言文学类,中国语言与文化,中华文化传播、语言文化教学、跨文化语言应用、文化文本解读、语言文化活动组织
文学,中国语言文学类,手语翻译,手语翻译、聋人沟通、手语教学、手语教材开发、手语文化传播
文学,中国语言文学类,数字人文,数字文本处理、人文数据可视化、数字人文工具应用（GIS）、人文数据库构建、数字人文项目开发
文学,中国语言文学类,中国古典学,古典文献研究、古典文化解读、古典学术梳理、古典语言应用、古典文化传承
文学,中国语言文学类,汉学与中国学,中国文化研究、汉学交流、跨文化汉学传播、汉学文献解读、汉学学术研究
文学,中国语言文学类,应用中文,实用文本写作（新闻/广告）、应用语言表达、职场文书处理、中文编辑校对、应用中文培训
文学,外国语言文学类,英语/俄语/德语等语种专业,外语听说读写、外语翻译（笔译/口译）、跨文化沟通、外语教学、外语文学鉴赏、外语应用文写作
文学,外国语言文学类,翻译,笔译（文学/商务）、口译（同声传译/交替传译）、翻译文本处理、跨语言沟通、翻译质量评估
文学,外国语言文学类,商务英语,商务外语沟通、外贸文书撰写、跨境商务洽谈、国际商务礼仪、商务英语翻译
文学,新闻传播学类,新闻学,新闻采写（消息/深度报道）、新闻编辑、新闻评论撰写、新闻摄影、新闻伦理研判、媒体运营
文学,新闻传播学类,广播电视学,广电节目策划、广电新闻采制、广电编辑剪辑（PR）、广电播音主持、广电受众分析
文学,新闻传播学类,广告学,广告策划、广告创意设计、广告文案撰写、广告效果评估、品牌推广、新媒体广告运营
文学,新闻传播学类,传播学,传播理论应用（拉斯韦尔5W）、传播效果分析、媒介研究（传统/新媒体）、舆情监测、跨文化传播
文学,新闻传播学类,编辑出版学,图书编辑、期刊策划、出版流程管理、校对排版、数字出版开发、版权管理
文学,新闻传播学类,网络与新媒体,新媒体内容创作（短视频/推文）、新媒体运营（微信/微博）、网络舆情分析、新媒体数据分析、新媒体营销
文学,新闻传播学类,数字出版,数字内容开发（电子书/有声书）、数字出版平台运营、数字版权管理、数字排版设计、数字阅读推广
文学,新闻传播学类,时尚传播,时尚内容创作、时尚品牌推广、时尚活动策划、时尚媒体运营、时尚受众分析
文学,新闻传播学类,国际新闻与传播,国际新闻采写、跨文化新闻传播、国际媒体分析、国际新闻翻译、国际舆情研判
文学,新闻传播学类,会展,会展策划、会展组织执行、会展文案撰写、会展招商、会展效果评估、会展品牌管理
历史学,历史学类,历史学,历史文献解读、历史事件分析、历史研究方法应用、历史论文撰写、历史文化传播
历史学,历史学类,世界史,世界历史梳理、跨文明比较研究、世界史文献解读、世界史专题研究、国际历史文化交流
历史学,历史学类,考古学,考古发掘技术、文物识别、考古报告撰写、考古遗址保护、考古年代测定（碳14）
历史学,历史学类,文物与博物馆学,文物鉴定、博物馆展览策划、文物保护、博物馆管理、文物数字化、博物馆教育
历史学,历史学类,文物保护技术,文物修复技术（书画/陶瓷）、文物材质分析、文物保护方案设计、文物保存环境控制、文物保护设备使用
历史学,历史学类,外国语言与外国历史,外国历史研究、外语文献解读、跨语言历史分析、外国历史文化传播、中外历史比较
历史学,历史学类,文化遗产,文化遗产申报（世界遗产）、文化遗产保护、文化遗产开发、文化遗产管理、文化遗产数字化
历史学,历史学类,古文字学,古文字识别（甲骨文/金文）、古文字解读、古文字文献整理、古文字研究、古文字教学
历史学,历史学类,科学史,科学发展梳理、科学思想研究、科学史文献解读、科技与社会关系分析、科学史教育
理学,数学类,数学与应用数学,高等数学运算（微积分/线性代数）、数学建模、数学理论研究、数学软件应用（Matlab）、数学问题解决
理学,数学类,信息与计算科学,数值计算、算法设计、程序编写（C++/Python）、数据处理、计算数学应用
理学,数学类,数理基础科学,基础数学研究（数论/拓扑）、物理数学应用、数理逻辑分析、科学计算、跨学科数理应用
理学,数学类,数据计算及应用,数据计算算法、大数据处理（Spark）、数据建模分析、计算结果可视化、数据计算应用开发
理学,物理学类,物理学,物理实验操作、物理理论应用（经典/量子力学）、物理数据分析、物理问题建模、物理软件应用（Origin）
理学,物理学类,应用物理学,应用物理实验、物理技术开发（光学/声学）、物理问题解决、跨学科物理应用、物理设备使用
理学,物理学类,核物理,核物理实验、核反应分析、核辐射探测、核安全防护、核技术应用（医疗/能源）
理学,物理学类,声学,声学实验、声信号处理、声学设备设计、噪声控制、声学应用开发（超声/水声）
理学,物理学类,系统科学与工程,系统建模、系统分析、系统优化、系统仿真（Simulink）、跨学科系统应用
理学,物理学类,量子信息科学,量子力学应用、量子信息处理、量子通信技术、量子计算基础、量子信息实验
理学,化学类,化学,化学实验操作、化学理论应用（无机/有机/分析）、化学数据分析、化学物质合成、化学软件应用（ChemDraw）
理学,化学类,应用化学,应用化学实验、化学技术开发（材料/环境）、化学产品研发、化学问题解决、跨学科化学应用
理学,化学类,化学生物学,化学生物实验、生物分子分析、化学生物技术开发、药物化学基础、化学生物数据处理
理学,化学类,分子科学与工程,分子设计、分子合成、分子性能分析、分子材料研发、分子模拟计算（GROMACS）
理学,化学类,能源化学,能源化学实验、能源材料合成、能源转化分析、能源存储技术、能源化学应用开发
理学,化学类,化学测量学与技术,化学测量实验、测量方法开发、测量仪器使用（色谱/光谱）、测量数据处理、测量质量控制
理学,化学类,资源化学,资源化学分析、资源提取技术、资源循环利用、资源化学实验、资源开发评估
理学,天文学类,天文学,天文观测（望远镜使用）、天文数据处理、天体物理分析、天文软件应用（Stellarium）、天文现象研究
理学,地理科学类,地理科学,地理观测、地理数据分析（GIS）、地理理论应用、地理地图绘制、地理环境研究
理学,地理科学类,自然地理与资源环境,自然地理调查、资源环境评估、地理信息应用（GIS）、自然资源管理、环境地理分析
理学,地理科学类,人文地理与城乡规划,人文地理调研、城乡规划设计、地理信息应用（GIS）、城市空间分析、规划方案评估
理学,地理科学类,地理信息科学,GIS软件应用（ArcGIS）、地理数据采集、地理信息系统开发、空间数据分析、地理信息可视化
理学,大气科学类,大气科学,大气观测（气象站/卫星）、气象数据分析、大气动力学应用、天气预报、气候研究
理学,大气科学类,应用气象学,气象服务应用、气象灾害评估、专业气象预报（农业/航空）、气象数据处理、气象技术开发
理学,大气科学类,气象技术与工程,气象设备设计、气象系统开发、气象技术应用、气象工程施工、气象设备维护
理学,大气科学类,地球系统科学,地球系统建模、多圈层分析（大气/海洋/陆地）、地球系统数据处理、全球变化研究、跨学科地球系统应用
理学,海洋科学类,海洋科学,海洋观测（船只/浮标）、海洋数据分析、海洋物理/化学/生物研究、海洋软件应用、海洋现象研究
理学,海洋科学类,海洋技术,海洋技术开发（探测/导航）、海洋设备使用、海洋数据采集、海洋工程应用、海洋技术维护
理学,海洋科学类,海洋资源与环境,海洋资源调查、海洋环境评估、海洋资源开发、海洋环境保护、海洋数据处理
理学,海洋科学类,军事海洋学,军事海洋环境分析、海洋军事技术应用、海洋军事数据处理、海洋作战支持、军事海洋研究
理学,海洋科学类,海洋科学与技术,海洋科学研究、海洋技术开发、跨学科海洋应用、海洋数据整合、海洋项目开发
理学,地球物理学类,地球物理学,地球物理勘探（地震/重力）、地球物理数据分析、地球内部结构研究、地球物理软件应用、地球物理问题解决
理学,地球物理学类,空间科学与技术,空间观测（卫星/雷达）、空间数据分析、空间环境研究、空间技术应用、空间项目开发
理学,地球物理学类,防灾减灾科学与工程,灾害风险评估、防灾减灾方案设计、灾害监测技术应用、灾害应急处置、灾害数据分析
理学,地球物理学类,行星科学,行星观测、行星数据分析、行星地质/大气研究、行星探测技术、行星科学研究
理学,地质学类,地质学,地质调查、地质剖面绘制、岩石/矿物识别、地质数据分析、地质理论应用（板块构造）
理学,地质学类,地球化学,地球化学分析、元素/同位素测定、地球化学数据处理、成矿作用研究、地球化学软件应用
理学,地质学类,地球信息科学与技术,地球信息采集、GIS软件应用、地球信息系统开发、空间数据分析、地球信息可视化
理学,地质学类,古生物学,化石采集与鉴定、古生物地层分析、古生态研究、古生物演化分析、古生物绘图
理学,生物科学类,生物科学,生物实验操作（细胞/分子）、生物理论应用（遗传学/生态学）、生物数据分析、生物标本制作、生物软件应用（BLAST）
理学,生物科学类,生物技术,生物技术开发（基因工程/发酵）、生物实验操作、生物产品研发、生物数据处理、生物技术应用（医疗/农业）
理学,生物科学类,生物信息学,生物数据挖掘（基因组/蛋白质组）、生物信息软件应用（Python/Perl）、生物信息分析、分子进化研究、生物数据库构建
理学,生物科学类,生态学,生态调查、生态数据分析、生态模型构建、生态保护方案设计、生态监测
理学,生物科学类,整合科学,跨学科科学研究（生物/化学/物理）、整合数据分析、整合模型构建、跨学科实验设计、整合科学应用
理学,生物科学类,神经科学,神经实验操作（电生理/成像）、神经数据分析、神经机制研究、神经软件应用、神经科学技术开发
理学,心理学类,心理学,心理实验设计、心理测量（量表编制）、心理数据分析（SPSS）、心理咨询基础、心理理论应用（认知/社会心理学）
理学,心理学类,应用心理学,应用心理评估（临床/教育）、心理咨询实务、心理干预方案设计、心理数据处理、跨领域心理应用（企业EAP）
理学,统计学类,统计学,统计数据建模、统计方法应用（回归/方差分析）、统计软件使用（R/SAS）、统计推断、统计报告撰写
理学,统计学类,应用统计学,应用统计分析、行业数据处理（金融/医疗）、统计软件应用、统计预测、应用统计报告撰写
理学,统计学类,数据科学,数据采集（爬虫）、数据清洗、数据分析（Python）、数据可视化（Tableau）、数据科学模型构建（机器学习）
理学,统计学类,生物统计学,生物数据统计分析、临床试验设计、生物统计软件应用（SAS/SPSS）、生物统计模型构建、生物统计报告撰写
工学,力学类,理论与应用力学,力学理论应用（牛顿力学/流体力学）、力学建模、力学计算（ANSYS）、力学实验操作、力学问题解决
工学,力学类,工程力学,工程力学分析（静力学/材料力学）、结构力学计算、工程力学软件应用（ABAQUS）、工程力学实验、工程力学问题解决
工学,机械类,机械工程,机械设计（CAD）、机械制造工艺、机械力学分析、机械故障诊断、机械软件应用（SolidWorks）
工学,机械类,机械设计制造及其自动化,机械设计、机械制造（数控加工）、自动化控制（PLC）、机械测试、机械生产管理
工学,机械类,材料成型及控制工程,材料成型工艺（铸造/焊接）、成型设备操作、成型过程控制、成型质量检测、成型工艺优化
工学,机械类,机械电子工程,机械设计、电子电路设计、机电控制（PLC）、机电设备调试、机电系统维护
工学,机械类,工业设计,产品外观设计（CAD/PS）、产品结构设计、用户体验分析、设计方案评估、设计软件应用（Rhino）
工学,机械类,过程装备与控制工程,过程装备设计、过程控制（DCS）、装备强度计算、装备故障诊断、装备维护
工学,机械类,车辆工程,车辆设计（底盘/车身）、车辆性能测试、车辆制造工艺、车辆电子控制、车辆软件应用（UG）
工学,机械类,汽车服务工程,汽车检测诊断、汽车维修、汽车服务管理、汽车保险理赔、汽车技术咨询
工学,机械类,机械工艺技术,机械工艺设计、工艺文件编制、工艺装备设计、工艺优化、工艺质量控制
工学,机械类,微机电系统工程,MEMS设计、微加工工艺、MEMS测试、MEMS封装、MEMS系统集成
工学,机械类,机电技术教育,机电技术教学、机电实验指导、机电课程设计、机电技能培训、机电教学评估
工学,机械类,汽车维修工程教育,汽车维修教学、汽车实验指导、汽车课程设计、汽车技能培训、汽车教学评估
工学,机械类,智能制造工程,智能设计（CAD/CAE）、智能制造工艺（工业机器人）、智能控制（AI）、智能制造系统集成、智能制造数据分析
工学,机械类,智能车辆工程,智能车辆设计、自动驾驶技术、车辆智能控制、智能车辆测试、智能车辆数据分析
工学,机械类,仿生科学与工程,仿生设计、仿生材料应用、仿生结构分析、仿生实验、仿生技术开发
工学,机械类,新能源汽车工程,新能源汽车设计（电池/电机）、新能源汽车性能测试、新能源汽车制造工艺、新能源汽车控制、新能源汽车维护
工学,机械类,增材制造工程,3D建模（CAD）、增材制造工艺（SLM/FDM）、增材制造设备操作、增材制造质量控制、增材制造产品设计
工学,机械类,智能交互设计,交互设计（UI/UX）、用户需求分析、交互原型开发（Axure）、交互测试、交互软件应用
工学,机械类,应急装备技术与工程,应急装备设计、应急装备测试、应急装备维护、应急处置方案设计、应急装备应用
工学,机械类,农林智能装备工程,农林装备设计、智能控制（GPS/AI）、农林装备测试、农林作业方案设计、农林装备维护
工学,仪器类,测控技术与仪器,测量仪器设计、测控系统开发、数据采集与处理、仪器校准、测控软件应用（LabVIEW）
工学,仪器类,精密仪器,精密仪器设计、精密测量、精密仪器校准、精密仪器测试、精密仪器维护
工学,仪器类,智能感知工程,传感器设计、感知系统开发、数据采集与分析、智能感知算法、感知系统测试
工学,材料类,材料科学与工程,材料设计、材料合成、材料性能测试、材料微观分析（SEM/TEM）、材料软件应用（JMatPro）
