专业名称,学科门类,专业类,核心技能
国家安全学,法学,法学类,国家安全风险评估、安全政策解读、安全事件应急处置、反间谍法律实务、国家安全战略研究
海外利益安全,法学,法学类,海外利益风险识别（政治/经济/安全）、跨境安全保障方案设计、涉外安全合规、海外危机公关、领事保护协调
政治学与行政学,法学,政治学类,政策文本分析、行政流程设计、政治制度比较、公共事务管理、行政决策评估
国际政治,法学,政治学类,国际关系分析（现实主义/自由主义）、国际局势研判、外交政策解读、地缘政治研究、国际冲突调解
外交学,法学,政治学类,外交文书撰写（照会/声明）、涉外沟通谈判、外交礼仪应用、外交政策制定建议、领事事务处理
国际事务与国际关系,法学,政治学类,国际组织规则应用（联合国/欧盟）、跨境事务协调、全球治理方案分析、国际关系调研、多边外交实务
政治学、经济学与哲学,法学,政治学类,跨学科理论融合分析（政经哲联动）、综合决策框架构建、社会发展规律研判、公共政策多维度评估、复杂问题系统拆解
国际组织与全球治理,法学,政治学类,国际组织机制解读、全球治理方案设计、多边合作协调、国际规则制定参与、全球议题研究（气候/贫困）
社会学,法学,社会学类,社会调研方法（问卷设计/深度访谈）、社会数据分析（SPSS）、社会问题归因、社会政策评估、社区治理研究
社会工作,法学,社会学类,个案工作介入（危机干预）、小组活动设计（社区支持）、社区资源链接、弱势群体帮扶、社会工作督导
人类学,法学,社会学类,田野调查方法、文化差异分析、民族志撰写、跨文化沟通、文化人类学理论应用
女性学,法学,社会学类,性别议题分析（就业/教育/权益）、女性权益政策解读、性别平等方案设计、女性发展调研、反性别歧视法律实务
家政学,法学,社会学类,家庭资源管理、家政服务规范设计、家庭关系疏导、婴幼儿照护指导、老年家庭照护方案
老年学,法学,社会学类,老年需求评估、养老服务方案设计、老龄化政策分析、老年社会工作、养老产业运营研究
社会政策,法学,社会学类,社会政策制定逻辑分析、政策效果评估（成本-收益）、民生需求匹配、政策文本解读、社会政策比较研究
民族学,法学,民族学类,民族文化调研、民族政策解读、跨民族沟通协调、民族历史梳理、民族地区发展规划
科学社会主义,法学,马克思主义理论类,社会主义理论分析（马克思主义经典）、意识形态建设逻辑解读、科学社会主义实践研究、当代社会主义思潮研判、社会主义制度比较
中国共产党历史,法学,马克思主义理论类,党史文献解读、党史事件分析、红色资源应用、党史教育方案设计、党史人物研究
思想政治教育,法学,马克思主义理论类,思政课程设计、思想动态引导、理论宣讲表达、思政教育评估、社会主义核心价值观培育
马克思主义理论,法学,马克思主义理论类,马克思主义经典著作解读、理论体系辨析（唯物史观/剩余价值）、理论应用分析、马克思主义中国化研究、马克思主义思潮批判
工会学,法学,马克思主义理论类,工会组织机制分析、职工权益维护方案设计、工会谈判实务、劳动关系协调、工会政策解读
治安学,法学,公安学类,治安防控方案设计、治安案件处置、公共安全风险评估、治安巡逻规划、群体性事件预防
侦查学,法学,公安学类,案件侦查逻辑构建、证据收集与固定、侦查文书撰写、侦查技术应用（监控/追踪）、犯罪心理分析
边防管理,法学,公安学类,边防管控流程执行、跨境人员/物品查验、边防应急处置、边防情报收集、边防涉外合作
禁毒学,法学,公安学类,毒品识别与检验、禁毒宣传方案设计、涉毒案件侦办、吸毒人员管控、禁毒国际合作
警犬技术,法学,公安学类,警犬训练与指挥（搜爆/搜毒）、警犬日常管理、警犬作业现场协调、警犬疾病预防、警犬技术教学
经济犯罪侦查,法学,公安学类,经济案件数据核查、财务造假线索识别、经济犯罪定性分析、涉案资金追查、经济侦查文书撰写
边防指挥,法学,公安学类,边防任务指挥调度、边防警力资源配置、边防突发事件处置、边防指挥预案制定、边防协同作战协调
消防指挥,法学,公安学类,消防救援方案制定、火场指挥调度、消防资源协调、火灾风险评估、消防演练组织
警卫学,法学,公安学类,警卫方案设计、重点目标安保、警卫应急处置、警卫路线规划、警卫人员管理
公安情报学,法学,公安学类,情报收集与分析、情报网络构建、情报研判报告撰写、情报保密管理、情报应用指导
犯罪学,法学,公安学类,犯罪行为归因分析、犯罪趋势预测、犯罪预防方案设计、犯罪统计分析、犯罪矫正研究
公安管理学,法学,公安学类,公安队伍管理、公安行政流程优化、公安资源调配、公安绩效考核、公安信息化建设
涉外警务,法学,公安学类,涉外案件处置、跨境警务协作、涉外人员沟通（外语）、涉外警务法规解读、国际警务合作
国内安全保卫,法学,公安学类,国内安全风险排查、重点人员管控、安全保卫方案设计、反颠覆渗透工作、国内安全情报分析
警务指挥与战术,法学,公安学类,警务指挥流程、战术方案制定、现场警力调度、应急处突战术、警务战术训练
技术侦查学,法学,公安学类,侦查技术工具应用（监听/定位）、技术证据固定、技术侦查合规管理、技术侦查数据分析、技术侦查报告撰写
海警执法,法学,公安学类,海上执法流程、海上案件处置、海上资源管控、海上巡逻执法、海警涉外执法协调
公安政治工作,法学,公安学类,公安队伍思想建设、公安宣传方案设计、公安组织文化构建、公安思政教育、公安表彰奖励管理
移民管理,法学,公安学类,移民身份核查、移民政策解读、移民事务办理、移民权益保障、移民风险防控
出入境管理,法学,公安学类,出入境证件查验、出入境流程优化、涉外人员管控、出入境数据统计、出入境违规处置
反恐警务,法学,公安学类,反恐风险评估、反恐应急方案设计、涉恐案件处置、反恐情报收集、反恐宣传教育
消防政治工作,法学,公安学类,消防队伍思想建设、消防宣传教育、消防组织文化构建、消防思政培训、消防先进典型选树
铁路警务,法学,公安学类,铁路安全防控、铁路案件处置、铁路警力调配、铁路客流安全管理、铁路沿线治安管理
教育学,教育学,教育学类,教育理论应用（建构主义/行为主义）、教学方案设计、教育效果评估（考试/观察）、课程开发、教育政策解读
科学教育,教育学,教育学类,科学实验设计、科普内容开发、科学教学方法应用（探究式）、科学课程资源整合、学生科学素养评估
人文教育,教育学,教育学类,人文课程设计（文学/历史/哲学）、人文素养培育、跨学科人文教学、人文教育活动组织、学生人文认知评估
教育技术学,教育学,教育学类,教育信息化工具应用（PPT/在线平台）、在线课程开发（MOOC）、教学资源数字化、教育技术评估、人工智能教育应用
艺术教育,教育学,教育学类,艺术课程设计（音乐/美术）、艺术教学方法应用、艺术素养培育、艺术展演组织、学生艺术能力评估
学前教育,教育学,教育学类,幼儿课程设计（游戏化）、幼儿行为引导、幼儿活动组织、幼儿发展评估、家园共育协调
小学教育,教育学,教育学类,小学课程设计（语文/数学）、班级管理、小学生认知发展引导、小学教学方法应用（启发式）、学生学业辅导
特殊教育,教育学,教育学类,特殊儿童评估（智力/听力）、个别化教育方案设计、特殊教育工具应用（助听设备）、特殊儿童康复训练、特殊教育家校沟通
华文教育,教育学,教育学类,华文课程设计、跨境华文教学、中华文化传播、华文教材开发、海外华文师资培训
教育康复学,教育学,教育学类,教育康复方案设计、特殊儿童康复训练（语言/运动）、康复效果评估、康复设备使用、康复家校协作
卫生教育,教育学,教育学类,卫生知识科普、健康课程设计、公共卫生教育方案、学生健康行为引导、卫生教育效果评估
认知科学与技术,教育学,教育学类,认知规律应用（记忆/注意力）、学习认知干预、认知教学工具开发、认知能力评估、认知科学实验设计
融合教育,教育学,教育学类,融合课程设计（特殊与普通学生）、特殊儿童融合支持、融合教学环境构建、融合教育师资培训、融合教育效果评估
劳动教育,教育学,教育学类,劳动课程设计（手工/农事）、劳动技能培育、劳动实践组织、学生劳动素养评估、劳动教育资源整合
家庭教育,教育学,教育学类,家庭教养指导、家庭亲子沟通引导、家庭教育方案设计、家长培训、家庭教育问题咨询
孤独症儿童教育,教育学,教育学类,孤独症儿童评估、孤独症教学方案设计（ABA/TEACCH）、孤独症行为干预、孤独症儿童康复训练、孤独症儿童家校协同
人工智能教育,教育学,教育学类,AI教学工具开发、智能课程设计、AI教育应用指导、学生AI素养培育、人工智能教育评估
婴幼儿发展与健康管理,教育学,教育学类,婴幼儿发育评估、婴幼儿健康护理、婴幼儿发展引导、婴幼儿营养指导、婴幼儿照护方案设计
体育教育,教育学,体育学类,体育课程设计（田径/球类）、体育技能教学、体育训练方案制定、学生体质测试、体育竞赛组织
运动训练,教育学,体育学类,专项运动训练方案（足球/田径）、运动员技能提升、运动损伤预防、训练效果评估、运动员心理疏导
社会体育指导与管理,教育学,体育学类,社会体育活动组织、大众健身指导、体育赛事策划、社会体育资源整合、群众体质监测
武术与民族传统体育,教育学,体育学类,传统武术教学（太极拳/武术套路）、民族体育项目推广、武术训练方案设计、武术赛事组织、民族体育文化传承
运动人体科学,教育学,体育学类,运动生理分析、运动营养方案、运动损伤康复、运动生物力学研究、运动机能评估
运动康复,教育学,体育学类,运动损伤评估、康复训练方案、康复效果跟踪、康复器械使用、康复心理辅导
休闲体育,教育学,体育学类,休闲体育项目开发（瑜伽/露营）、休闲体育活动组织、大众休闲健身指导、休闲体育产业分析、休闲体育安全管理
体能训练,教育学,体育学类,体能评估、体能训练方案、体能提升跟踪、专项体能训练、体能恢复指导
冰雪运动,教育学,体育学类,冰雪项目教学（滑雪/滑冰）、冰雪训练方案、冰雪赛事组织、冰雪运动安全防护、冰雪运动场馆管理
电子竞技运动与管理,教育学,体育学类,电竞赛事策划、电竞训练指导、电竞俱乐部管理、电竞战术分析、电竞行业合规
智能体育工程,教育学,体育学类,智能体育设备应用（运动手环/VR）、智能训练方案设计、体育数据化分析、智能体育系统开发、智能体育赛事支持
体育旅游,教育学,体育学类,体育旅游项目开发（马拉松/骑行）、体育旅游活动组织、体育旅游安全保障、体育旅游市场分析、体育旅游资源整合
运动能力开发,教育学,体育学类,运动潜能评估、运动能力提升方案、专项能力训练、运动能力监测、运动能力发展指导
足球运动,教育学,体育学类,足球教学（技术/战术）、足球训练方案、足球赛事组织、足球运动员选材、足球俱乐部青训管理
马术运动与管理,教育学,体育学类,马术教学（骑术/马匹护理）、马术训练方案、马术俱乐部管理、马术赛事组织、马匹健康管理
汉语言文学,文学,中国语言文学类,文本分析（古代/现代文学）、公文写作（报告/通知）、文学鉴赏、语言表达（演讲/写作）、古典文献整理
汉语言,文学,中国语言文学类,汉语语法分析、汉语教学、汉语语言应用（写作/口语）、汉语方言研究、汉语规范化推广
汉语国际教育,文学,中国语言文学类,对外汉语教学、跨文化沟通、汉语课程设计、汉语教材开发、留学生汉语评估
中国少数民族语言文学,文学,中国语言文学类,民族语言研究（藏语/蒙古语）、民族文化传播、民族语言教学、民族文献整理、民族语言保护
古典文献学,文学,中国语言文学类,古籍整理、文献校勘、古典文本解读、古籍数字化、古典文献检索
应用语言学,文学,中国语言文学类,语言应用分析、语言教学方案、语言工具开发（词典/翻译软件）、语言习得研究、语言测试设计
秘书学,文学,中国语言文学类,公文撰写（请示/纪要）、会议组织、办公事务管理、档案整理、商务沟通协调
中国语言与文化,文学,中国语言文学类,中华文化传播、语言文化教学、跨文化语言应用、文化文本解读、语言文化活动组织
手语翻译,文学,中国语言文学类,手语翻译、聋人沟通、手语教学、手语教材开发、手语文化传播
数字人文,文学,中国语言文学类,数字文本处理、人文数据可视化、数字人文工具应用（GIS）、人文数据库构建、数字人文项目开发
中国古典学,文学,中国语言文学类,古典文献研究、古典文化解读、古典学术梳理、古典语言应用、古典文化传承
汉学与中国学,文学,中国语言文学类,中国文化研究、汉学交流、跨文化汉学传播、汉学文献解读、汉学学术研究
应用中文,文学,中国语言文学类,实用文本写作（新闻/广告）、应用语言表达、职场文书处理、中文编辑校对、应用中文培训
英语/俄语/德语等语种专业,文学,外国语言文学类,外语听说读写、外语翻译（笔译/口译）、跨文化沟通、外语教学、外语文学鉴赏、外语应用文写作
翻译,文学,外国语言文学类,笔译（文学/商务）、口译（同声传译/交替传译）、翻译文本处理、跨语言沟通、翻译质量评估
商务英语,文学,外国语言文学类,商务外语沟通、外贸文书撰写、跨境商务洽谈、国际商务礼仪、商务英语翻译
新闻学,文学,新闻传播学类,新闻采写（消息/深度报道）、新闻编辑、新闻评论撰写、新闻摄影、新闻伦理研判、媒体运营
广播电视学,文学,新闻传播学类,广电节目策划、广电新闻采制、广电编辑剪辑（PR）、广电播音主持、广电受众分析
广告学,文学,新闻传播学类,广告策划、广告创意设计、广告文案撰写、广告效果评估、品牌推广、新媒体广告运营
传播学,文学,新闻传播学类,传播理论应用（拉斯韦尔5W）、传播效果分析、媒介研究（传统/新媒体）、舆情监测、跨文化传播
编辑出版学,文学,新闻传播学类,图书编辑、期刊策划、出版流程管理、校对排版、数字出版开发、版权管理
网络与新媒体,文学,新闻传播学类,新媒体内容创作（短视频/推文）、新媒体运营（微信/微博）、网络舆情分析、新媒体数据分析、新媒体营销
数字出版,文学,新闻传播学类,数字内容开发（电子书/有声书）、数字出版平台运营、数字版权管理、数字排版设计、数字阅读推广
时尚传播,文学,新闻传播学类,时尚内容创作、时尚品牌推广、时尚活动策划、时尚媒体运营、时尚受众分析
国际新闻与传播,文学,新闻传播学类,国际新闻采写、跨文化新闻传播、国际媒体分析、国际新闻翻译、国际舆情研判
会展,文学,新闻传播学类,会展策划、会展组织执行、会展文案撰写、会展招商、会展效果评估、会展品牌管理
历史学,历史学,历史学类,历史文献解读、历史事件分析、历史研究方法应用、历史论文撰写、历史文化传播
世界史,历史学,历史学类,世界历史梳理、跨文明比较研究、世界史文献解读、世界史专题研究、国际历史文化交流
考古学,历史学,历史学类,考古发掘技术、文物识别、考古报告撰写、考古遗址保护、考古年代测定（碳14）
文物与博物馆学,历史学,历史学类,文物鉴定、博物馆展览策划、文物保护、博物馆管理、文物数字化、博物馆教育
文物保护技术,历史学,历史学类,文物修复技术（书画/陶瓷）、文物材质分析、文物保护方案设计、文物保存环境控制、文物保护设备使用
外国语言与外国历史,历史学,历史学类,外国历史研究、外语文献解读、跨语言历史分析、外国历史文化传播、中外历史比较
文化遗产,历史学,历史学类,文化遗产申报（世界遗产）、文化遗产保护、文化遗产开发、文化遗产管理、文化遗产数字化
古文字学,历史学,历史学类,古文字识别（甲骨文/金文）、古文字解读、古文字文献整理、古文字研究、古文字教学
科学史,历史学,历史学类,科学发展梳理、科学思想研究、科学史文献解读、科技与社会关系分析、科学史教育
管理科学,管理学,管理科学与工程类,管理模型构建、数据分析、决策优化、管理软件应用（MATLAB）、管理方案设计
信息管理与信息系统,管理学,管理科学与工程类,信息系统设计、数据管理、系统开发、信息分析、信息管理软件应用（ERP）
工程管理,管理学,管理科学与工程类,工程项目管理、成本控制、进度管理、工程软件应用（Primavera P6）、工程决策
房地产开发与管理,管理学,管理科学与工程类,房地产项目开发、营销管理、物业管理、房地产数据分析、房地产软件应用
工程造价,管理学,管理科学与工程类,工程计价、成本核算、预算编制、造价软件应用（广联达）、造价审核
保密管理,管理学,管理科学与工程类,保密法规应用、保密方案设计、保密监测、保密管理、保密软件应用
邮政管理,管理学,管理科学与工程类,邮政运营管理、邮政网络优化、邮政数据分析、邮政软件应用、邮政服务管理
大数据管理与应用,管理学,管理科学与工程类,大数据采集、数据分析、数据可视化、数据管理、大数据软件应用（Hadoop）
工程审计,管理学,管理科学与工程类,工程审计、财务审核、审计报告撰写、审计软件应用、审计法规应用
计算金融,管理学,管理科学与工程类,金融计算、风险评估、投资分析、计算金融软件应用（MATLAB）、金融决策
应急管理,管理学,管理科学与工程类,应急方案设计、应急处置、应急管理、应急数据分析、应急软件应用
工商管理,管理学,工商管理类,企业管理、营销策划、人力资源管理、财务分析、工商管理软件应用（ERP）
市场营销,管理学,工商管理类,市场调研、营销策划、品牌推广、营销数据分析、营销软件应用（CRM）
会计学,管理学,工商管理类,会计核算、财务报表编制、税务处理、会计软件应用（用友/金蝶）、财务分析
财务管理,管理学,工商管理类,财务预算、资金管理、投融资决策、财务分析、财务软件应用（SAP）
国际商务,管理学,工商管理类,跨境贸易管理、国际营销、外贸流程、国际商务软件应用、跨境结算
人力资源管理,管理学,工商管理类,人力资源规划、招聘、培训、绩效评估、HR软件应用（SAP HR）
审计学,管理学,工商管理类,审计核算、审计报告撰写、内控评估、审计软件应用（ACL）、审计法规应用
资产评估,管理学,工商管理类,资产估值、评估报告撰写、评估法规应用、评估软件应用、资产评估分析
物业管理,管理学,工商管理类,物业运营管理、设施维护、客户服务、物业数据分析、物业软件应用
文化产业管理,管理学,工商管理类,文化项目策划、产业运营、文化营销、文化数据分析、文化产业软件应用
劳动关系,管理学,工商管理类,劳动合同管理、薪酬设计、劳动纠纷处理、劳动关系软件应用、劳动法规应用
体育经济与管理,管理学,工商管理类,体育项目策划、体育营销、体育产业管理、体育数据分析、体育管理软件应用
财务会计教育,管理学,工商管理类,会计教学、课程设计、技能培训、教学评估、会计软件应用
市场营销教育,管理学,工商管理类,营销教学、课程设计、技能培训、教学评估、营销软件应用
零售业管理,管理学,工商管理类,零售运营管理、库存管理、营销策划、零售数据分析、零售软件应用（POS）
创业管理,管理学,工商管理类,创业项目策划、融资、运营管理、创业数据分析、创业软件应用
海关稽查,管理学,工商管理类,海关法规应用、稽查方案设计、稽查数据分析、稽查报告撰写、海关软件应用
内部审计,管理学,工商管理类,内部审计、内控评估、审计报告撰写、审计软件应用、内部审计法规应用
农林经济管理,管理学,农业经济管理类,农林项目管理、产业分析、政策应用、农林数据分析、农林管理软件应用
农村区域发展,管理学,农业经济管理类,农村规划、产业开发、政策应用、农村数据分析、农村发展软件应用
乡村治理,管理学,农业经济管理类,乡村治理方案设计、政策应用、治理数据分析、乡村管理、乡村治理软件应用
公共事业管理,管理学,公共管理类,公共项目管理、政策应用、公共服务、公共数据分析、公共管理软件应用
行政管理,管理学,公共管理类,行政办公、政策应用、公文处理、行政数据分析、行政软件应用
劳动与社会保障,管理学,公共管理类,社保政策应用、社保管理、薪酬设计、社保数据分析、社保软件应用
土地资源管理,管理学,公共管理类,土地规划、土地评估、土地管理、土地数据分析、土地软件应用（GIS）
城市管理,管理学,公共管理类,城市规划、城市服务、城市数据分析、城市管理软件应用、城市法规应用
海关管理,管理学,公共管理类,海关法规应用、通关管理、海关数据分析、海关软件应用、海关监管
交通管理,管理学,公共管理类,交通法规应用、交通管理、交通数据分析、交通软件应用、交通服务
海事管理,管理学,公共管理类,海事法规应用、海事管理、海事数据分析、海事软件应用、海事服务
公共关系学,管理学,公共管理类,公关策划、危机处理、品牌推广、公关数据分析、公关软件应用
健康服务与管理,管理学,公共管理类,健康管理、健康服务、健康数据分析、健康软件应用、健康政策应用
海警后勤管理,管理学,公共管理类,后勤保障、物资管理、后勤数据分析、后勤软件应用、后勤服务
医疗产品管理,管理学,公共管理类,医疗产品运营、质量管理、营销策划、医疗数据分析、医疗软件应用
医疗保险,管理学,公共管理类,医保政策应用、医保管理、医保数据分析、医保软件应用、医保服务
养老服务管理,管理学,公共管理类,养老服务、养老管理、养老数据分析、养老软件应用、养老政策应用
海关检验检疫安全,管理学,公共管理类,检验检疫法规应用、安全监管、数据分析、检验检疫软件应用、安全服务
海外安全管理,管理学,公共管理类,海外安全风险评估、安全方案设计、安全管理、安全数据分析、安全软件应用
自然资源登记与管理,管理学,公共管理类,资源登记、资源管理、资源数据分析、资源软件应用（GIS）、资源法规应用
慈善管理,管理学,公共管理类,慈善项目策划、资金管理、慈善服务、慈善数据分析、慈善软件应用
航空安防管理,管理学,公共管理类,航空安防法规应用、安防管理、安防数据分析、安防软件应用、安防服务
无障碍管理,管理学,公共管理类,无障碍设施管理、无障碍服务、无障碍数据分析、无障碍软件应用、无障碍政策应用
人才发展与管理,管理学,公共管理类,人才规划、人才培训、人才评估、人才数据分析、人才管理软件应用
图书馆学,管理学,图书情报与档案管理类,图书分类、读者服务、图书馆管理、图书数据分析、图书馆软件应用（ILAS）
档案学,管理学,图书情报与档案管理类,档案整理、档案管理、档案利用、档案数据分析、档案软件应用（档案管理系统）
信息资源管理,管理学,图书情报与档案管理类,信息资源整合、信息管理、信息服务、信息数据分析、信息管理软件应用
物流管理,管理学,物流管理与工程类,物流规划、仓储管理、运输调度、物流数据分析、物流软件应用（WMS）
物流工程,管理学,物流管理与工程类,物流系统设计、物流设施规划、物流优化、物流数据分析、物流软件应用（FlexSim）
采购管理,管理学,物流管理与工程类,采购策划、供应商管理、采购数据分析、采购软件应用、采购法规应用
供应链管理,管理学,物流管理与工程类,供应链规划、库存管理、供应链优化、供应链数据分析、供应链软件应用（SAP SCM）
工业工程,管理学,工业工程类,生产流程优化、效率提升、质量控制、工业数据分析、工业软件应用（IE软件）
标准化工程,管理学,工业工程类,标准制定、标准应用、标准化管理、标准化数据分析、标准化软件应用
质量管理工程,管理学,工业工程类,质量控制、质量检测、质量体系构建、质量数据分析、质量软件应用（SPC）
电子商务,管理学,电子商务类,电商运营、网络营销、电商数据分析、电商软件应用（淘宝/京东后台）、电商物流
电子商务及法律,管理学,电子商务类,电商运营、电商法规应用、法律维权、电商数据分析、电商软件应用
跨境电子商务,管理学,电子商务类,跨境电商运营、跨境物流、跨境支付、跨境数据分析、跨境电商软件应用
旅游管理,管理学,旅游管理类,旅游策划、景区管理、旅游服务、旅游数据分析、旅游软件应用（OTA平台）
酒店管理,管理学,旅游管理类,酒店运营、客户服务、酒店营销、酒店数据分析、酒店软件应用（PMS）
会展经济与管理,管理学,旅游管理类,会展策划、会展运营、会展营销、会展数据分析、会展软件应用
旅游管理与服务教育,管理学,旅游管理类,旅游教学、课程设计、技能培训、教学评估、旅游软件应用
国际邮轮管理,管理学,旅游管理类,邮轮运营、客户服务、邮轮营销、邮轮数据分析、邮轮软件应用
艺术史论,艺术学,艺术学理论类,艺术史研究、艺术理论分析、艺术批评、艺术文献解读、艺术史软件应用
艺术管理,艺术学,艺术学理论类,艺术项目策划、艺术营销、艺术机构管理、艺术数据分析、艺术管理软件应用
非物质文化遗产保护,艺术学,艺术学理论类,非遗调查、保护方案设计、非遗传承、非遗数据分析、非遗软件应用
音乐表演,艺术学,音乐与舞蹈学类,乐器演奏、声乐演唱、舞台表演、音乐表达、音乐软件应用（Logic Pro）
音乐学,艺术学,音乐与舞蹈学类,音乐理论研究、音乐教育、音乐分析、音乐文献解读、音乐软件应用
作曲与作曲技术理论,艺术学,音乐与舞蹈学类,作曲、配器、音乐制作、作曲软件应用（Cubase）、音乐创新
舞蹈表演,艺术学,音乐与舞蹈学类,舞蹈技巧、舞台表演、舞蹈表达、舞蹈编排、舞蹈软件应用
舞蹈学,艺术学,音乐与舞蹈学类,舞蹈理论研究、舞蹈教育、舞蹈分析、舞蹈文献解读、舞蹈软件应用
舞蹈编导,艺术学,音乐与舞蹈学类,舞蹈编排、创意设计、舞蹈制作、编导软件应用、舞蹈创新
舞蹈教育,艺术学,音乐与舞蹈学类,舞蹈教学、课程设计、技能培训、教学评估、舞蹈软件应用
航空服务艺术与管理,艺术学,音乐与舞蹈学类,航空服务、礼仪表演、服务管理、航空软件应用、航空服务艺术
流行音乐,艺术学,音乐与舞蹈学类,流行音乐演唱、乐器演奏、音乐制作、流行音乐软件应用（FL Studio）、流行音乐创新
音乐治疗,艺术学,音乐与舞蹈学类,音乐治疗评估、治疗方案设计、音乐应用、治疗软件应用、治疗指导
